編號,案類,發生(現)日期,發生時段,發生(現)地點
892,自行車竊盜,1060625,01~03,台北市大安區群賢里和平東路3段1 ~ 30號
893,自行車竊盜,1060625,10~12,台北市北投區福興里自強街1 ~ 30號
894,自行車竊盜,1060625,10~12,台北市北投區八仙里承德路7段361 ~ 390號
895,自行車竊盜,1060625,10~12,台北市中山區安東街16巷1 ~ 30號
896,自行車竊盜,1060625,16~18,台北市北投區大同里光明路1 ~ 30號
897,自行車竊盜,1060625,16~18,台北市大同區寧夏路91 ~ 120號
898,自行車竊盜,1060625,19~21,台北市中山區新生北路1段31 ~ 60號
899,自行車竊盜,1060627,13~15,台北市松山區南京東路5段251巷46弄1 ~ 30號
900,自行車竊盜,1060629,01~03,台北市大同區朝陽里重慶北路2段16巷1 ~ 30號
901,自行車竊盜,1060629,01~03,台北市士林區蘭興里文林路661巷39弄1 ~ 30號
902,自行車竊盜,1060629,04~06,台北市萬華區和平西路3段91 ~ 120號
903,自行車竊盜,1060629,16~18,台北市萬華區莒光路121 ~ 150號
904,自行車竊盜,1060629,22~24,台北市南港區新富里富康街1巷16弄
905,自行車竊盜,1060701,10~12,台北市文山區興業里興隆路2段121 ~ 150號
906,自行車竊盜,1060702,01~03,台北市大安區龍圖里瑞安街208巷11弄1 ~ 30號
907,自行車竊盜,1060702,16~18,台北市北投區尊賢里尊賢街230巷1 ~ 30號
908,自行車竊盜,1060703,04~06,台北市大安區龍生里和平東路2段151 ~ 180號
909,自行車竊盜,1060704,07~09,台北市中正區幸市里忠孝東2段與新生南1段口(忠孝新生1 ~ 30號
910,自行車竊盜,1060704,16~18,台北市中正區幸市里忠孝東路二段、新生南路一段口(忠孝新生1 ~ 30號出口
911,自行車竊盜,1060705,10~12,台北市大安區學府里羅斯福路4段1 ~ 30號
912,自行車竊盜,1060705,10~12,台北市中正區建國里捷運西門站1 ~ 30號出口
913,自行車竊盜,1060705,19~21,台北市文山區萬祥里羅斯福路5段269巷口
914,自行車竊盜,1060707,16~18,台北市萬華區環河南路2段148巷1 ~ 30號
915,自行車竊盜,1060708,10~12,台北市松山區敦化北路222巷
